SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      279.000      2.03008     0.142697     0.573010  1.60000e+38     -86.1804  1.60000e+38
      281.000      1.92657     0.148103     0.573010  1.60000e+38     -86.1804  1.60000e+38
      283.000      1.56033     0.140570     0.573010  1.60000e+38     -86.1804  1.60000e+38
      285.000      1.76049     0.143840     0.573010  1.60000e+38     -86.1804  1.60000e+38
      287.000      1.96378     0.146919     0.573010  1.60000e+38     -86.1804  1.60000e+38
      289.000      1.90124     0.147802     0.573010  1.60000e+38     -86.1804  1.60000e+38
      291.000      1.56498     0.136169     0.573010  1.60000e+38     -86.1804  1.60000e+38
      293.000      1.59974     0.138259     0.573010  1.60000e+38     -86.1804  1.60000e+38
      295.000      1.47521     0.135233     0.573010  1.60000e+38     -86.1804  1.60000e+38
      297.000      1.65903     0.141828     0.573010  1.60000e+38     -86.1804  1.60000e+38
      299.000      1.55892     0.138957     0.573010  1.60000e+38     -86.1804  1.60000e+38
      301.000      1.83983     0.148350     0.573010  1.60000e+38     -86.1804  1.60000e+38
      303.000      1.55997     0.143400     0.573010  1.60000e+38     -86.1804  1.60000e+38
      305.000      1.54535     0.148050     0.573010  1.60000e+38     -86.1804  1.60000e+38
      307.000      1.48631     0.147132     0.573010  1.60000e+38     -86.1804  1.60000e+38
      309.000      1.47796     0.136355     0.573010  1.60000e+38     -86.1804  1.60000e+38
      311.000      1.31802     0.137537     0.573010  1.60000e+38     -86.1804  1.60000e+38
      313.000      1.42796     0.138022     0.573010  1.60000e+38     -86.1804  1.60000e+38
      315.000      1.36321     0.144119     0.573010  1.60000e+38     -86.1804  1.60000e+38
      317.000      1.57112     0.140158     0.573010  1.60000e+38     -86.1804  1.60000e+38
      319.000      1.52964     0.136149     0.573010  1.60000e+38     -86.1804  1.60000e+38
      321.000      1.41132     0.131024     0.573010  1.60000e+38     -86.1804  1.60000e+38
      323.000      1.42975     0.138019     0.573010  1.60000e+38     -86.1804  1.60000e+38
      325.000      1.36961     0.140514     0.573010  1.60000e+38     -86.1804  1.60000e+38
      327.000      1.37721     0.137453     0.573010  1.60000e+38     -86.1804  1.60000e+38
      329.000      1.76584     0.144011     0.573010  1.60000e+38     -86.1804  1.60000e+38
      331.000      1.59489     0.132294     0.573010  1.60000e+38     -86.1804  1.60000e+38
      333.000      1.34077     0.138008     0.573010  1.60000e+38     -86.1804  1.60000e+38
      335.000      1.46937     0.135863     0.573010  1.60000e+38     -86.1804  1.60000e+38
      337.000      1.23384     0.131255     0.573010  1.60000e+38     -86.1804  1.60000e+38
      339.000      1.28819     0.131628     0.573010  1.60000e+38     -86.1804  1.60000e+38
      341.000      1.32699     0.135872     0.573010  1.60000e+38     -86.1804  1.60000e+38
      343.000      1.24946     0.136597     0.573010  1.60000e+38     -86.1804  1.60000e+38
      345.000      1.30298     0.133482     0.573010  1.60000e+38     -86.1804  1.60000e+38
      347.000      1.28230     0.127395     0.573010  1.60000e+38     -86.1804  1.60000e+38
      349.000      1.16866     0.128223     0.573010  1.60000e+38     -86.1804  1.60000e+38
      351.000      1.01256     0.136158     0.573010  1.60000e+38     -86.1804  1.60000e+38
      353.000      1.32388     0.136523     0.573010  1.60000e+38     -86.1804  1.60000e+38
      355.000      1.12583     0.133898     0.573010  1.60000e+38     -86.1804  1.60000e+38
      357.000      1.13872     0.137437     0.573010  1.60000e+38     -86.1804  1.60000e+38
      359.000     0.831193     0.134947     0.573010  1.60000e+38     -86.1804  1.60000e+38
      361.000     0.871217     0.132464     0.573010  1.60000e+38     -86.1804  1.60000e+38
      363.000      1.10183     0.135053     0.573010  1.60000e+38     -86.1804  1.60000e+38
      365.000      1.11569     0.143214     0.573010  1.60000e+38     -86.1804  1.60000e+38
      367.000      1.15642     0.140155     0.573010  1.60000e+38     -86.1804  1.60000e+38
      369.000      1.14310     0.134134     0.573010  1.60000e+38     -86.1804  1.60000e+38
      371.000      1.49707     0.142029     0.573010  1.60000e+38     -86.1804  1.60000e+38
      373.000      1.12379     0.146489     0.573010    0.0589860     -86.1804      4.78561
