SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      140.000     0.861386     0.240667     0.577449    0.0463822     -3.54944      3.56239
      141.000     0.454905     0.242748     0.596600    0.0363947     -5.92108      2.75713
      142.000     0.946244     0.247694     0.609317    0.0246879     -5.59253      1.84871
      143.000     0.215654     0.192032     0.146091      1.01975     -7.80124      204.918
      144.000     0.459439     0.237933     0.585219    0.0763289     -4.27518      5.72728
      145.000     0.781773     0.231708     0.585219    0.0530886     -5.48507      3.96813
      146.000     0.306638     0.217502     0.388268    0.0869305     -14.5569      7.96240
      147.000      1.19044     0.271402     0.663037    0.0462417     -3.34158      3.52654
      148.000     0.387723     0.198578     0.184391    0.0335039     -7.77410      5.50851
      149.000     0.128277     0.240518     0.457097     0.132429      3.57937      11.0203
      150.000     0.203493     0.212887     0.400000  1.60000e+38     -7.00000  1.60000e+38
      151.000     0.752197     0.210733     0.400000  1.60000e+38     -7.00000  1.60000e+38
